"Prevalence of Obesitya Among Children Aged 2 to 4 Years Enrolled in WIC, by US State or Territory, 2010–2020",,,,,
Utahd,"26,045","12.5 (12.1, 12.9)","11,707","8.3 (7.8, 8.8)","-4.1 (-4.7, -3.4)"
Vermont,"6,964","13.8 (13.0, 14.7)","3,904","14.6 (13.6, 15.8)","0.7 (-0.7, 2.1)"
Virginiad,"48,920","21.5 (21.2, 21.9)","28,038","15.7 (15.3, 16.1)","-5.5 (-6.0, -4.9)"
Washingtond,"78,336","14.9 (14.6, 15.1)","43,618","14.8 (14.5, 15.2)","0.5 (0.1, 0.9)"
West Virginiad,"17,669","14.4 (13.9, 14.9)","7,598","16.5 (15.7, 17.3)","2.1 (1.2, 3.1)"
Wisconsin,"48,511","15.2 (14.9, 15.5)","26,177","15.2 (14.8, 15.6)","0.3 (-0.3, 0.8)"
Wyoming,"4,413","11.8 (10.9, 12.8)","2,007","11.6 (10.3, 13.1)","-0.3 (-2.0, 1.3)"
Territory,,,,,
American Samoad,"3,221","14.6 (13.4, 15.8)","1,421","17.0 (15.2, 19.1)","2.4 (0.1, 4.7)"
Guamd,"3,248","11.4 (10.3, 12.5)","2,234","8.7 (7.6, 10.0)","-2.6 (-4.2, -1.0)"
Commonwealth of the Northern Mariana Islandsd,"2,157","14.1 (12.6, 15.6)","1,095","9.3 (7.7, 11.2)","-4.9 (-7.2, -2.6)"
Puerto Ricod,"70,699","20.3 (20.0, 20.6)","40,056","12.1 (11.8, 12.5)","-8.0 (-8.4, -7.5)"
US Virgin Islands,"2,093","12.4 (11.0, 13.8)",667,"12.0 (9.7, 14.7)","-0.5 (-3.3, 2.3)"
